# Q-Table at Episode 500
# Rows=States, Columns=Actions [Left, Down, Right, Up]
0.0189	0.0209	0.0167	0.0167
0.0138	0.0111	0.0123	0.0171
0.0202	0.0169	0.0180	0.0095
0.0015	0.0033	0.0013	0.0032
0.0304	0.0179	0.0137	0.0092
0.0000	0.0000	0.0000	0.0000
0.0191	0.0154	0.0354	0.0019
0.0000	0.0000	0.0000	0.0000
0.0086	0.0421	0.0199	0.0552
0.0417	0.0779	0.0888	0.0198
0.1098	0.2116	0.0106	0.0037
0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000
0.0357	0.0681	0.1390	0.0580
0.0707	0.2377	0.5645	0.1045
0.0000	0.0000	0.0000	0.0000
