# Q-Table at Episode 2000
# Rows=States, Columns=Actions [Left, Down, Right, Up]
0.1468	0.1456	0.1661	0.1441
0.0825	0.1053	0.0723	0.1304
0.1184	0.1323	0.1178	0.1186
0.0763	0.0432	0.0850	0.1102
0.1947	0.1661	0.1071	0.1377
0.0000	0.0000	0.0000	0.0000
0.0943	0.0906	0.1761	0.0415
0.0000	0.0000	0.0000	0.0000
0.1514	0.2001	0.1399	0.2588
0.3285	0.3440	0.2663	0.2107
0.2601	0.3652	0.2152	0.1766
0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000
0.3099	0.3445	0.5198	0.3981
0.5168	0.7743	0.5908	0.5735
0.0000	0.0000	0.0000	0.0000
