# Q-Table at Episode 10000
# Rows=States, Columns=Actions [Left, Down, Right, Up]
0.1945	0.1385	0.1409	0.1515
0.0842	0.0956	0.1002	0.1201
0.1361	0.1010	0.0985	0.1042
0.0643	0.0780	0.0721	0.0928
0.2204	0.1880	0.1534	0.1136
0.0000	0.0000	0.0000	0.0000
0.0687	0.0193	0.1730	0.0351
0.0000	0.0000	0.0000	0.0000
0.1920	0.1553	0.2042	0.3046
0.2332	0.3706	0.2296	0.1649
0.3399	0.2801	0.2329	0.1679
0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000
0.3068	0.4170	0.5106	0.3453
0.5373	0.7434	0.5566	0.5242
0.0000	0.0000	0.0000	0.0000
